Time_minutes Average_cpu_utilization intermediate_powerdraw_kJ total_powerdraw_kJ cpu_demand cpu_usage cpu_idle_time overall_power_efficiency intermediate_power_efficiency hosts_up hosts_down servers_active servers_pending attemps_success attempts_failure attemps_error
240 8.711515012960106E-6 2838.4076583425 136225.9907661079 121.93333333340001 121.93333333340001 40540153 0.042660483759264047 0.04295835835103528 162 0 4 0 4 0 0
245 8.840115836005372E-6 2838.4101333250837 139064.40089943298 123.7333333334 123.7333333334 41384939 0.04267950648486057 0.043592478719222776 162 0 4 0 4 0 0
250 8.925849718035551E-6 2838.4117833278333 141902.81268276082 124.93333333339999 124.93333333339999 42229725 0.042706224202067704 0.044015225016760834 162 0 4 0 4 0 0
255 9.4640679774377E-6 2838.422141632139 144741.23482439297 132.4666666666 132.4666666666 43074510 0.04278393788414034 0.046669121102060424 162 0 4 0 4 0 0
260 8.916323731131402E-6 2838.4116000351382 147579.6464244281 124.7999999999 124.7999999999 43919297 0.04280671591956608 0.04396825322950168 162 0 4 0 4 0 0
265 8.825826855659865E-6 2838.409858339139 150418.05628276724 123.5333333333 123.5333333333 44764082 0.04282021382609575 0.0435220209549244 162 0 4 0 4 0 0
270 8.863930803233596E-6 2838.4105916642225 153256.46687443147 124.0666666667 124.0666666667 45608868 0.042836691552986396 0.04370990829552852 162 0 4 0 4 0 0
275 8.782959914651921E-6 2838.409033338528 156094.87590776998 122.93333333339999 122.93333333339999 46453656 0.04284530990809411 0.043310647580911264 162 0 4 0 4 0 0
280 8.844878829453875E-6 2838.4102249960274 158933.286132766 123.80000000009998 123.80000000009998 47298441 0.042859073131123526 0.043615964637484086 162 0 4 0 4 0 0
285 8.83535284255687E-6 2838.4100416672773 161771.69617443325 123.6666666667 123.6666666667 48143227 0.042871529223026 0.04356899279924278 162 0 4 0 4 0 0
290 8.792485901541782E-6 2838.4092166694168 164610.10539110267 123.0666666667 123.0666666667 48988014 0.04287991098661258 0.0433576194524573 162 0 4 0 4 0 0
295 8.963953665602138E-6 2838.412516655667 167448.5179077583 125.4666666667 125.4666666667 49832800 0.04290234051095921 0.044203112102440247 162 0 4 0 4 0 0
300 8.863930803226453E-6 2838.410591673083 170286.92849943138 124.0666666666 124.0666666666 50677585 0.04291580137359222 0.043709908295356835 162 0 4 0 4 0 0
305 8.949664685263776E-6 2838.4122416611667 173125.34074109257 125.2666666667 125.2666666667 51522372 0.04293575183649044 0.04413265445662971 162 0 4 0 4 0 0
310 8.921086724579903E-6 2838.4116916684998 175963.75243276107 124.8666666666 124.8666666666 52367158 0.04295278560976413 0.04399173912407322 162 0 4 0 4 0 0
315 8.768670934306414E-6 2838.4087583431115 178802.16119110418 122.7333333333 122.7333333333 53211944 0.04295734802924428 0.04324018976214834 162 0 4 0 4 0 0
320 8.997294619720222E-6 2838.4131583186663 181640.57434942285 125.93333333330001 125.93333333330001 54056731 0.042979384027836305 0.044367513222739074 162 0 4 0 4 0 0
325 8.849641822888088E-6 2838.4103166761383 184478.984666099 123.8666666666 123.8666666666 54901516 0.042989539871012665 0.043639450554016974 162 0 4 0 4 0 0
