Time_minutes Average_cpu_utilization intermediate_powerdraw_kJ total_powerdraw_kJ cpu_demand cpu_usage cpu_idle_time overall_power_efficiency intermediate_power_efficiency hosts_up hosts_down servers_active servers_pending attemps_success attempts_failure attemps_error
102345 0.014268917350509659 2990.7102225429417 6.367741555329697E7 118977.45128194387 118977.45128194387 16811148593 80.07962918543807 39.7823401228019 162 0 202 0 347 0 0
102350 0.014077167468210649 2989.06561348027 6.368040461891045E7 117383.17142857355 117383.17142857355 16811982367 80.0777136810496 39.27085805650829 162 0 202 0 347 0 0
102355 0.01449076846816975 2997.1145216451287 6.3683401733432114E7 120808.25714288141 120808.25714288141 16812815815 80.07584201876166 40.30818851612292 162 0 202 0 347 0 0
102360 0.014547874739558677 2998.170713517845 6.368639990414565E7 121292.37619041266 121292.37619041266 16813649215 80.0739768062769 40.4554602723394 162 0 202 0 347 0 0
102365 0.014157997125533459 2989.7114776766302 6.368938961562336E7 118054.06666666693 118054.06666666693 16814482921 80.07207155923982 39.48677574680528 162 0 202 0 347 0 0
102370 0.014806832335481013 3000.354145514071 6.369238996976885E7 123479.46666662362 123479.46666662362 16815316118 80.0702382930485 41.154963940254135 162 0 202 0 347 0 0
102375 0.015226785496242609 3010.0060798360705 6.369539997584868E7 126944.77307682465 126944.77307682465 16816148989 80.06844747093193 42.17425802798985 162 0 202 0 347 0 0
102380 0.015158924654716119 3008.2669076946972 6.369840824275636E7 126395.08095237377 126395.08095237377 16816981912 80.06665037453531 42.01591309237689 162 0 202 0 347 0 0
102385 0.015699137906676104 3015.7233232852222 6.370142396607967E7 130855.23809510971 130855.23809510971 16817814415 80.06491409267578 43.39099581342251 162 0 202 0 347 0 0
102390 0.017192162630389453 3027.8015378270748 6.370445176761751E7 143231.18730174957 143231.18730174957 16818645761 80.0633570667543 47.30534201542831 162 0 202 0 347 0 0
102395 0.017580932892589933 3040.299631510973 6.370749206724902E7 146465.8527472609 146465.8527472609 16819476802 80.0618352560678 48.17480857124272 162 0 202 0 347 0 0
102400 0.016840194297799604 3032.740637268841 6.371052480788629E7 140335.69523799 140335.69523799 16820308416 80.06022687054055 46.273556503127296 162 0 202 0 347 0 0
102405 0.019460157401154185 3054.4867585736515 6.371357929464486E7 162049.30732591107 162049.30732591107 16821138000 80.05893211365431 53.05287602608006 162 0 202 0 347 0 0
102410 0.020960154880648632 3066.7872673318984 6.371664608191222E7 174529.40000007657 174529.40000007657 16821966407 80.05781789440374 56.90952282840178 162 0 202 0 347 0 0
102415 0.023244315324808997 3083.731197128892 6.371972981310934E7 193445.20952392294 193445.20952392294 16822793043 80.05697935379402 62.73089227233233 162 0 202 0 347 0 0
102420 0.021778041018230512 3079.924172828078 6.372280973728214E7 181272.9142858084 181272.9142858084 16823620827 80.05595465774095 58.85629129608026 162 0 202 0 347 0 0
102425 0.01795645016478346 3037.390791257262 6.372584712807338E7 149586.5999998665 149586.5999998665 16824451571 80.05448626424477 49.24838793560323 162 0 202 0 347 0 0
102430 0.013629398624450062 2996.1684954803586 6.372884329656886E7 113724.33333335463 113724.33333335463 16825285682 80.05250706001307 37.956588057348846 162 0 202 0 347 0 0
102435 0.009500260371522821 2961.4228167803885 6.373180471938565E7 79454.23369963294 79454.23369963294 16826123004 80.05003396062507 26.8297499598569 162 0 202 0 347 0 0
102440 0.007471254739182425 2945.268199681699 6.373474998758533E7 62618.46666669943 62618.46666669943 16826961908 80.04731722677465 21.26070103682467 162 0 202 0 347 0 0
102445 0.007012456120917578 2941.7424607108833 6.373769173004602E7 58816.26666662313 58816.26666662313 16827801166 80.0445455179084 19.99368314941137 162 0 202 0 347 0 0
102450 0.007812332699859795 2956.134451766133 6.374064786449779E7 65442.533333371386 65442.533333371386 16828639800 80.04185994894915 22.13787444419957 162 0 202 0 347 0 0
102455 0.00830804271811955 2962.2420355282425 6.374361010653331E7 69550.32087919537 69550.32087919537 16829478056 80.03923140248024 23.478946029740204 162 0 202 0 347 0 0
102460 0.007935049376078664 2955.7321440208552 6.374656583867733E7 66461.48095235426 66461.48095235426 16830316597 80.03656281875578 22.485623768987004 162 0 202 0 347 0 0
102465 0.008122617270005388 2954.952895250261 6.374952079157257E7 68013.14285717192 68013.14285717192 16831154993 80.03391980076795 23.016658900551356 162 0 202 0 347 0 0
102470 0.008418782832603203 2959.55661934942 6.375248034819192E7 70501.24615390452 70501.24615390452 16831993155 80.03131027608664 23.821556814615814 162 0 202 0 347 0 0
102475 0.008043595611947039 2955.6368383379577 6.3755435985030234E7 67369.92783879527 67369.92783879527 16832831615 80.02865679943139 22.793709621199394 162 0 202 0 347 0 0
102480 0.008204094859628095 2960.1841206851004 6.3758396169150926E7 68735.50366295839 68735.50366295839 16833669938 80.02601927926936 23.220009587461185 162 0 202 0 347 0 0
102485 0.00807627128122558 2960.1992021446226 6.376135636835307E7 67643.80476191088 67643.80476191088 16834508369 80.02336486343978 22.851098910135473 162 0 202 0 347 0 0
102490 0.006673581136309755 2953.306707810521 6.3764309675060876E7 56289.220512809676 56289.220512809676 16835347848 80.02054127261542 19.059727309711274 162 0 202 0 347 0 0
102495 0.005084101366026159 2929.0330754435063 6.3767238708136305E7 42825.33333333051 42825.33333333051 16836188610 80.01753726173695 14.620979767135616 162 0 202 0 347 0 0
102500 0.008214066649303475 2963.7493480403423 6.3770202457484335E7 68925.76923079767 68925.76923079767 16837026912 80.01489925608261 23.256274784631167 162 0 202 0 347 0 0
102505 0.010643126400828921 3003.139243253887 6.37732055967276E7 88930.28095236863 88930.28095236863 16837863347 80.01252575765749 29.612440099851348 162 0 202 0 347 0 0
102510 0.013814121373992731 3024.299101584375 6.3776229895829186E7 115284.22857135902 115284.22857135902 16838697312 80.0105391620026 38.11932110516573 162 0 202 0 347 0 0
102515 0.013221948201257019 3015.402520801544 6.377924529834999E7 110356.70000001269 110356.70000001269 16839531738 80.00848665603661 36.5976678863683 162 0 202 0 347 0 0
102520 0.009500254224767952 2973.698181723237 6.3782218996531725E7 79513.79999994028 79513.79999994028 16840369049 80.00600309096498 26.73902835487581 162 0 202 0 347 0 0
102525 0.010738843793547174 2984.1884243327977 6.378520318495606E7 89746.55238095092 89746.55238095092 16841205409 80.0036670250989 30.07402335896949 162 0 202 0 347 0 0
102530 0.011622702227779091 2988.2732175040246 6.378819145817357E7 97083.25000006595 97083.25000006595 16842041076 80.0014410713255 32.488076870412606 162 0 202 0 347 0 0
102535 0.012992168745715935 2990.4122264638545 6.379118187040004E7 108463.80000002203 108463.80000002203 16842875681 79.99939104679731 36.27051783702739 162 0 202 0 347 0 0
102540 0.011793850924433122 2986.7081287716032 6.379416857852881E7 98508.63809527259 98508.63809527259 16843711218 79.99718980808579 32.982345059538176 162 0 202 0 347 0 0
102545 0.01251624865445167 2996.146312549889 6.3797164724841364E7 104493.13333331136 104493.13333331136 16844546188 79.99507074601607 34.87584464604528 162 0 202 0 347 0 0
102550 0.01333197947533742 3003.665707527459 6.380016839054889E7 111328.4717948069 111328.4717948069 16845380522 79.99304959180554 37.064201757142165 162 0 202 0 347 0 0
102555 0.013431019926161317 3005.564340080857 6.380317395488898E7 112078.00476197178 112078.00476197178 16846214788 79.99103799513111 37.29016985840224 162 0 202 0 347 0 0
102560 0.013225444302235649 3001.0188499732612 6.380617497373895E7 110371.57460317959 110371.57460317959 16847049208 79.98900554234258 36.7780344345931 162 0 202 0 347 0 0
102565 0.012302228519568059 2992.0405353408455 6.38091670142743E7 102701.88571418665 102701.88571418665 16847884351 79.98686433806674 34.32503152985764 162 0 202 0 347 0 0
102570 0.011462002007775727 2989.6283541157245 6.38121566426284E7 95734.20476193681 95734.20476193681 16848720147 79.98461716761578 32.0221089120133 162 0 202 0 347 0 0
102575 0.009071750222329616 2976.297717221856 6.381513294034562E7 75901.35714285608 75901.35714285608 16849557804 79.98207612963823 25.501937089043675 162 0 202 0 347 0 0
102580 0.00760922437033183 2966.998147665322 6.3818099938493304E7 63783.999999996406 63783.999999996406 16850396597 79.97935710992606 21.49782265627193 162 0 202 0 347 0 0
102585 0.007771994499036045 2961.6808821451664 6.382106161937544E7 65118.924999965326 65118.924999965326 16851235263 79.97666592297992 21.987151077802558 162 0 202 0 347 0 0
102590 0.005999972612786918 2946.382698129654 6.382400800207356E7 50432.79999999377 50432.79999999377 16852075304 79.97376405155994 17.11685316099915 162 0 202 0 347 0 0
102595 0.007879428095473975 2955.251843352437 6.3826963253916934E7 66008.06666670431 66008.06666670431 16852913890 79.97109535892156 22.335851617919907 162 0 202 0 347 0 0
102600 0.007894733230682242 2955.0350160870553 6.3829918288933E7 66132.43333326174 66132.43333326174 16853752463 79.96842913345412 22.379576882588616 162 0 202 0 347 0 0
102605 0.008648123142432077 2969.3718920540214 6.383288766082504E7 72393.59999999618 72393.59999999618 16854590450 79.96584328136801 24.380105501005104 162 0 202 0 347 0 0
102610 0.011027319339653441 2985.1208886490463 6.38358727817137E7 92152.99999995755 92152.99999995755 16855426578 79.96354747647378 30.87077657403099 162 0 202 0 347 0 0
102615 0.020454164438261604 3050.4000292029978 6.38389231817429E7 170312.68571424767 170312.68571424767 16856255381 79.96239444759776 55.832901941961566 162 0 202 0 347 0 0
102620 0.022361097523824706 3069.937121763289 6.3841993118864655E7 194016.1761904673 186127.2428571673 16857082706 79.96146477298547 60.62900817664332 162 0 202 0 347 0 0
102625 0.022932355074015615 3068.6797599952815 6.3845061798624665E7 200095.60000005562 190864.66666665557 16857909584 79.96061096440062 62.19764901989937 162 0 202 0 347 0 0
102630 0.023862337581932895 3080.4429438623188 6.384814224156851E7 205897.2000000776 198574.26666674463 16858735739 79.95986325536023 64.46289390374761 162 0 202 0 347 0 0
102635 0.024453862073231036 3088.372390235126 6.385123061395874E7 212627.66666662844 203505.13333329448 16859561436 79.95918291294159 65.89397508433271 162 0 202 0 347 0 0
102640 0.024633076548454882 3094.121828231096 6.385432473578698E7 214763.40000014767 204972.00000004767 16860386992 79.95851840895702 66.24561390242019 162 0 202 0 347 0 0
102645 0.02447941047239254 3095.579127954662 6.3857420314914934E7 212494.80000002403 203697.13333332405 16861212667 79.95783218036932 65.80259296033974 162 0 202 0 347 0 0
102650 0.023808356642228884 3095.3872682179212 6.386051570218315E7 207544.63333333685 198137.49999996982 16862038862 79.9570591995191 64.01056889855391 162 0 202 0 347 0 0
102655 0.022610921782125586 3081.707614349365 6.386359740979749E7 198071.86666676585 188202.40000003285 16862865992 79.95614785282844 61.07081642778355 162 0 202 0 347 0 0
102660 0.021680108663430092 3072.5257109822633 6.3866669935508505E7 188871.88095217687 180481.34761894288 16863693844 79.95512719569263 58.740386442932106 162 0 202 0 347 0 0
102665 0.020749120313380127 3066.0870677606463 6.3869736022576265E7 177398.27142850176 172752.40476186777 16864522419 79.95399368581388 56.34295469894779 162 0 202 0 347 0 0
102670 0.02206672730553846 3078.2260430188776 6.387281424861929E7 186300.299999995 183711.366666762 16865349967 79.95301666453064 59.68092144610427 162 0 202 0 347 0 0
102675 0.01984885533361282 3065.5529341713786 6.387587980155345E7 165303.20000010566 165303.20000010566 16866179243 79.9517674135602 53.92280073114681 162 0 202 0 347 0 0
102680 0.017881156764404316 3040.972742090404 6.387892077429556E7 148976.4000000086 148976.4000000086 16867010045 79.95029345714008 48.98971895999314 162 0 202 0 347 0 0
102685 0.023966235734826584 3098.108581941843 6.388201888287753E7 199450.73333326663 199450.73333326663 16867836120 79.94953825312804 64.37822563606025 162 0 202 0 347 0 0
102690 0.02121406976357508 3089.534331185758 6.388510841720872E7 176620.53333341618 176620.53333341618 16868664334 79.94843648917073 57.16736388089577 162 0 202 0 347 0 0
102695 0.02225133036361683 3075.7966150634884 6.3888184213823766E7 185225.40000008233 185225.40000008233 16869491742 79.94748670900283 60.220301658748994 162 0 202 0 347 0 0
102700 0.016462120508502626 3042.282148173809 6.389122649597196E7 137209.33333337845 137209.33333337845 16870323651 79.94582742831457 45.100791659228946 162 0 202 0 347 0 0
102705 0.012013403407042737 2985.445480553329 6.389421194145251E7 100297.21025641217 100297.21025641217 16871159017 79.94366171259915 33.59539167930907 162 0 202 0 347 0 0
102710 0.013360826086349756 2993.593443589151 6.3897205534896106E7 111490.03095234618 111490.03095234618 16871993335 79.94166117455467 37.24287651387821 162 0 202 0 347 0 0
102715 0.015678488846989115 3020.12252363199 6.390022565741973E7 130696.02579370092 130696.02579370092 16872825857 79.93992819811275 43.27507403127681 162 0 202 0 347 0 0
102720 0.016485942237468135 3029.0334241291284 6.390325469084387E7 137397.68571420904 137397.68571420904 16873657747 79.93828911056974 45.360240867501155 162 0 202 0 347 0 0
102725 0.013631283079412946 3018.0408380465506 6.390627273168192E7 113732.71190474677 113732.71190474677 16874491857 79.93629362086733 37.6842852724157 162 0 202 0 347 0 0
102730 0.012219228829686438 3008.1415608622433 6.390928087324277E7 102033.63333334611 102033.63333334611 16875327062 79.9341276435345 33.91915947735503 162 0 202 0 347 0 0
102735 0.021184253424608286 3077.61248457551 6.391235848572738E7 176379.20000013273 176379.20000013273 16876155298 79.93303822873534 57.31039917602246 162 0 202 0 347 0 0
102740 0.018343538939847838 3056.958429525137 6.3915415444156885E7 152808.86666662456 152808.86666662456 16876985740 79.93160597475243 49.987224291552316 162 0 202 0 347 0 0
