Time_minutes Average_cpu_utilization Powerdraw_kJ cpu_demand cpu_usage cpu_idle_time
7650 0.10906981588601632 205.67603883315624 100518.74232055263 100518.74232055263 24204
7655 0.10893006907493126 205.76766823667288 100389.95165945665 100389.95165945665 24187
7660 0.10897225083501735 205.77561700692772 100428.826369552 100428.826369552 24185
7665 0.1111111111111111 206.62582602241636 103075.14869666928 102400.0 24025
7670 0.11056566205160082 206.5438557357341 101897.3141467553 101897.3141467553 24041
7675 0.10990037576095847 206.24600690118967 101284.18630129933 101284.18630129933 24097
7680 0.10929265457724106 205.96345173062383 100724.11045838536 100724.11045838536 24150
7685 0.10825407402261866 205.51377172359824 99766.95461924536 99766.95461924536 24234
7690 0.10853042980647136 205.55813106003404 100021.644109644 100021.644109644 24227
7695 0.10838569161653859 205.3586819919348 99888.25339380196 99888.25339380196 24265
7700 0.1111111111111111 206.5848603733778 102792.539285666 102400.0 24033
7705 0.11097020043980765 206.70437713719903 102270.13672532674 102270.13672532674 24010
7710 0.1111111111111111 206.2601448646635 103298.40840152396 102400.0 24098
7715 0.11006680932130143 206.3525672544837 101437.5714705114 101437.5714705114 24077
7720 0.11045257518204928 206.4311714388281 101793.09328777662 101793.09328777662 24061
7725 0.11103990684460935 206.68687855808437 102334.37814799199 102334.37814799199 24014
7730 0.11093456107455439 206.6862167506665 102237.29148630932 102237.29148630932 24014
7735 0.11061550016485241 206.55448240746557 101943.24495192799 101943.24495192799 24039
7740 0.10759878210416372 205.35554663987458 99163.0375871973 99163.0375871973 24264
7745 0.10682300949508829 204.84517448931933 98448.08555067336 98448.08555067336 24361
7750 0.1070067263487891 204.86343820762633 98617.39900304405 98617.39900304405 24357
7755 0.1085811832040936 205.4903593272716 100068.41844089267 100068.41844089267 24239
7760 0.1080376863748344 205.3867186342925 99567.53176304737 99567.53176304737 24258
7765 0.10848829828395178 205.52510359294712 99982.81569848995 99982.81569848995 24232
7770 0.10830005471623552 205.48268597240747 99809.33042648266 99809.33042648266 24241
7775 0.1111111111111111 206.5664544662982 104919.36497749873 102400.0 24036
7780 0.1111111111111111 206.76 103475.06541875734 102400.0 24000
7785 0.1111111111111111 206.76 104497.19734347997 102400.0 24000
7790 0.1111111111111111 206.76 105223.43319992204 102400.0 24000
7795 0.1111111111111111 206.76 103086.93530139669 102400.0 24000
7800 0.11038942641258688 206.4784358190447 101734.89538184006 101734.89538184006 24053
7805 0.1111111111111111 206.71031090432405 104406.90934551663 102400.0 24010
7810 0.1111111111111111 206.76 107518.13420554472 102400.0 24000
7815 0.1111111111111111 206.76 109184.15098718203 102400.0 24000
7820 0.1111111111111111 206.76 109800.0483360293 102400.0 24000
7825 0.1111111111111111 206.76 107488.31823224267 102400.0 24000
7830 0.1111111111111111 206.76 109810.3590780867 102400.0 24000
7835 0.1111111111111111 206.59640000000596 108596.4925953913 102400.0 24032
7840 0.1111111111111111 206.76 109099.28992473938 102400.0 24000
7845 0.1111111111111111 206.76 106293.62768035597 102400.0 24000
7850 0.1111111111111111 206.76 104292.83758233933 102400.0 24000
7855 0.1111111111111111 206.76 104069.65768993265 102400.0 24000
7860 0.10996383477699215 206.31414722636342 101342.67013047596 101342.67013047596 24084
7865 0.11107684038390346 206.6659346987009 102368.41609780543 102368.41609780543 24017
7870 0.1111111111111111 206.7576404079944 105491.3704527947 102400.0 24001
7875 0.1111111111111111 206.76 105120.89447115344 102400.0 24000
7880 0.1111111111111111 206.76 104700.37581599067 102400.0 24000
7885 0.1111111111111111 206.76 103279.62255996795 102400.0 24000
