Time_minutes Average_cpu_utilization intermediate_powerdraw_kJ total_powerdraw_kJ cpu_demand cpu_usage cpu_idle_time overall_power_efficiency intermediate_power_efficiency hosts_up hosts_down servers_active servers_pending attemps_success attempts_failure attemps_error
75 1.4724794238679107E-5 2838.5233875061876 42559.87788655538 122.13333333329999 122.13333333329999 12662238 0.04054992837621083 0.043027066069235884 162 0 4 0 4 0 0
80 1.5030221193419655E-5 2838.529265605406 45398.407152160784 124.6666666667 124.6666666667 13507026 0.040760607755788304 0.04391945793101093 162 0 4 0 4 0 0
85 1.4692644032913773E-5 2838.522768771656 48236.929920932445 121.8666666666 121.8666666666 14351815 0.040888450748551984 0.04293312986858184 162 0 4 0 4 0 0
90 1.448366769546923E-5 2838.518746888406 51075.44866782085 120.13333333329999 120.13333333329999 15196603 0.040968150476278054 0.04232254356783465 162 0 4 0 4 0 0
95 1.4764981995888791E-5 2838.524160919453 53913.9728287403 122.46666666669998 122.46666666669998 16041392 0.04108273267802424 0.043144486262548014 162 0 4 0 4 0 0
100 1.4732831790123457E-5 2838.5235421895627 56752.49637092986 122.19999999999999 122.19999999999999 16886180 0.04118115471182236 0.04305055011301337 162 0 4 0 4 0 0
105 1.4531893004123261E-5 2838.5196750128907 59591.01604594276 120.53333333339998 120.53333333339998 17730969 0.041242234647786806 0.04246344825242495 162 0 4 0 4 0 0
110 1.5166859567901235E-5 2838.5318952717657 62429.547941214514 125.80000000000001 125.80000000000001 18575757 0.04138211394866206 0.04431868467271731 162 0 4 0 4 0 0
115 1.4628343621407214E-5 2838.521531284547 65268.06947249907 121.33333333339999 121.33333333339999 19420546 0.04144139733043394 0.04274525734475993 162 0 4 0 4 0 0
120 1.4660493827172548E-5 2838.5221499979375 68106.591622497 121.60000000009998 121.60000000009998 20265335 0.041499654184231446 0.042839193627637655 162 0 4 0 4 0 0
125 1.4604230967086229E-5 2838.5210671911095 70945.1126896881 121.13333333340002 121.13333333340002 21110123 0.04154667209038241 0.042674805106614505 162 0 4 0 4 0 0
130 1.4861432613160687E-5 2838.526017171 73783.6387068591 123.2666666666 123.2666666666 21954912 0.04161898293198206 0.04342629446442523 162 0 4 0 4 0 0
135 1.5769675925925925E-5 2838.543496816734 76622.18220367584 130.8 130.8 22799699 0.04178424456105751 0.04607997028993384 162 0 4 0 4 0 0
140 1.4740869341567806E-5 2838.523696941 79460.70590061684 122.26666666670002 122.26666666670002 23644488 0.0418303188852139 0.04307403415319854 162 0 4 0 4 0 0
145 1.4789094650209776E-5 2838.5246249969064 82299.23052561373 122.66666666669997 122.66666666669997 24489276 0.0418780748170063 0.043214938347358414 162 0 4 0 4 0 0
150 1.4620306069962864E-5 2838.521376573328 85137.75190218707 121.26666666669999 121.26666666669999 25334065 0.04190620400805707 0.04272177326812789 162 0 4 0 4 0 0
155 1.4925733024691358E-5 2838.527254667906 87976.27915685497 123.8 123.8 26178853 0.04196131088265918 0.043614166394355794 162 0 4 0 4 0 0
160 1.499807098765432E-5 2838.5286468703594 90814.80780372533 124.39999999999999 124.39999999999999 27023642 0.0420195791004456 0.04382552211941145 162 0 4 0 4 0 0
165 1.5110596707826968E-5 2838.5308124927815 93653.33861621813 125.33333333339999 125.33333333339999 27868430 0.04208428008621224 0.044154297280054176 162 0 4 0 4 0 0
170 1.5247235082296492E-5 2838.5334421787343 96491.87205839687 126.46666666660002 126.46666666660002 28713218 0.04215691864221028 0.04455352358629593 162 0 4 0 4 0 0
175 1.5078446502061632E-5 2838.5301937608283 99330.40225215768 125.06666666670002 125.06666666670002 29558006 0.04221131266561464 0.044060361570787646 162 0 4 0 4 0 0
180 1.4981995884765629E-5 2838.528337506187 102168.93058966388 124.26666666660002 124.26666666660002 30402795 0.04225485486064637 0.04377855419818551 162 0 4 0 4 0 0
185 1.4853395061740456E-5 2838.5258625082506 105007.45645217213 123.20000000010002 123.20000000010002 31247583 0.04228588600616418 0.043402810461355065 162 0 4 0 4 0 0
190 1.498199588477768E-5 2838.52833749175 107845.98478966388 124.26666666669999 124.26666666669999 32092372 0.04232517333772799 0.04377855419844339 162 0 4 0 4 0 0
195 1.4821244855975115E-5 2838.525243760313 110684.5100334242 122.9333333334 122.9333333334 32937160 0.042350400538597247 0.04330887442471538 162 0 4 0 4 0 0
200 1.6091177983531056E-5 2838.549684293531 113523.05971771774 133.4666666666 133.4666666666 33781948 0.04246714290460653 0.04701931673245229 162 0 4 0 4 0 0
205 1.5006108539086613E-5 2838.528801632109 116361.58851934984 124.46666666659999 124.46666666659999 34626736 0.042500852124794736 0.04384900607491938 162 0 4 0 4 0 0
210 1.4789094650209779E-5 2838.5246250139216 119200.11314436376 122.6666666667 122.6666666667 35471524 0.04251785673387543 0.04321493834709937 162 0 4 0 4 0 0
215 1.5062371399184989E-5 2838.529884357469 122038.64302872123 124.93333333339999 124.93333333339999 36316313 0.04255264183366113 0.044013393701394815 162 0 4 0 4 0 0
220 1.498199588477768E-5 2838.5283375051563 124877.1713662264 124.26666666669999 124.26666666669999 37161101 0.04258050751117507 0.043778554198236626 162 0 4 0 4 0 0
225 1.4941808127567993E-5 2838.5275640650784 127715.69893029147 123.93333333329997 123.93333333329997 38005889 0.04260452483321646 0.043661134350872405 162 0 4 0 4 0 0
230 1.4990033436209975E-5 2838.5284921844063 130554.22742247587 124.3333333333 124.3333333333 38850678 0.04263056133747486 0.04380203816013788 162 0 4 0 4 0 0
235 1.4941808127567998E-5 2838.5275640655937 133392.75498654146 123.93333333330001 123.93333333330001 39695466 0.04265249138836543 0.043661134350864494 162 0 4 0 4 0 0
240 1.470068158437018E-5 2838.522923452969 136231.27790999442 121.93333333340001 121.93333333340001 40540255 0.04265882810338704 0.04295661392266375 162 0 4 0 4 0 0
245 1.4917695473259069E-5 2838.527099986078 139069.8050099805 123.73333333340001 123.73333333340001 41385043 0.04267784800284039 0.04359068241201815 162 0 4 0 4 0 0
250 1.5062371399184995E-5 2838.5298843657188 141908.33489434622 124.93333333340001 124.93333333340001 42229831 0.04270456233487552 0.04401339370126691 162 0 4 0 4 0 0
255 1.5970614711926118E-5 2838.547364004234 144746.88225835044 132.4666666666 132.4666666666 43074619 0.04278226862909407 0.0466670622961648 162 0 4 0 4 0 0
260 1.5046296296284238E-5 2838.5295750592963 147585.41183340971 124.7999999999 124.7999999999 43919407 0.042805043679597574 0.043966425820063174 162 0 4 0 4 0 0
265 1.4893582818926024E-5 2838.5266359472967 150423.938469357 123.53333333330002 123.53333333330002 44764196 0.04281853938192083 0.04352023044944 162 0 4 0 4 0 0
270 1.4957883230456696E-5 2838.5278734333747 153262.4663427904 124.0666666667 124.0666666667 45608984 0.042835014708148225 0.043708102297629975 162 0 4 0 4 0 0
275 1.4821244855975115E-5 2838.525243758766 156100.99158654915 122.9333333334 122.9333333334 46453773 0.04284363132713234 0.04330887442473898 162 0 4 0 4 0 0
280 1.4925733024703415E-5 2838.527254680797 158939.51884122993 123.8000000001 123.8000000001 47298561 0.04285739244082191 0.04361416639419295 162 0 4 0 4 0 0
285 1.4909657921814723E-5 2838.5269453135315 161778.0457865435 123.66666666670002 123.66666666670002 48143349 0.042869846562193906 0.04356719842694336 162 0 4 0 4 0 0
290 1.4837319958851753E-5 2838.5255531296402 164616.57133967313 123.06666666669999 123.06666666669999 48988138 0.04287822671329254 0.04335584244820759 162 0 4 0 4 0 0
295 1.5126671810703609E-5 2838.5311218564375 167455.10246152958 125.46666666670001 125.46666666670001 49832926 0.042900653534785574 0.044201265119349166 162 0 4 0 4 0 0
300 1.4957883230444635E-5 2838.527873448328 170293.63033497793 124.06666666659999 124.06666666659999 50677714 0.04291411243993929 0.04370810229736448 162 0 4 0 4 0 0
305 1.510255915638262E-5 2838.5306578032187 173132.16099278114 125.2666666667 125.2666666667 51522503 0.04293406045441398 0.04413081335667016 162 0 4 0 4 0 0
310 1.5054333847728588E-5 2838.5297296905937 175970.6907224717 124.8666666666 124.8666666666 52367291 0.04295109203869719 0.04398990976226652 162 0 4 0 4 0 0
315 1.479713220164207E-5 2838.5247797039997 178809.2155021757 122.7333333333 122.7333333333 53212079 0.042955653292790386 0.043238422370263256 162 0 4 0 4 0 0
320 1.5182934670777872E-5 2838.53220466275 181647.74770683845 125.93333333329998 125.93333333329998 54056868 0.042977686751172965 0.044365652475752804 162 0 4 0 4 0 0
325 1.4933770576123649E-5 2838.5274093909843 184486.27511622946 123.8666666666 123.8666666666 54901656 0.04298784102866594 0.043637650373499835 162 0 4 0 4 0 0
330 1.480516975308642E-5 2838.5249343832497 187324.80005061268 122.8 122.8 55746444 0.04299199392974801 0.04326190639106779 162 0 4 0 4 0 0
335 1.4861432613172742E-5 2838.5260171838904 190163.3260677966 123.26666666669999 123.26666666669999 56591233 0.04299847663801773 0.04342629446426325 162 0 4 0 4 0 0
340 1.19502314814851E-4 2840.5398870370786 193003.86595483366 991.2000000003001 991.2000000003001 57435940 0.0475012937589533 0.3489477491668687 162 0 4 0 4 0 0
345 3.7094907407366406E-4 2845.3791213691798 195849.24507620285 3076.799999996599 3076.799999996599 58280452 0.06252121793253022 1.0813321771040694 162 0 4 0 4 0 0
350 2.8461773405349385E-4 2843.717644600828 198692.96272080368 2360.7333333332995 2360.7333333332995 59125030 0.07350771998496587 0.8301574306490879 162 0 4 0 4 0 0
355 1.5399948559666763E-5 2838.5363985208596 201531.49911932452 127.73333333329998 127.73333333329998 59969818 0.0731061896744689 0.04499971654401222 162 0 4 0 4 0 0
360 1.5038258744851947E-5 2838.529420335703 204370.02853966024 124.73333333329998 124.73333333329998 60814607 0.07270113646065943 0.04394294187676526 162 0 4 0 4 0 0
365 1.4909657921802663E-5 2838.5269453207497 207208.555484981 123.66666666660001 123.66666666660001 61659395 0.07230203388529102 0.043567198426797335 162 0 4 0 4 0 0
370 1.4933770576135704E-5 2838.527409373453 210047.08289435448 123.86666666669998 123.86666666669998 62504183 0.07191467007547762 0.04363765037380457 162 0 4 0 4 0 0
375 1.4789094650221834E-5 2838.5246250092814 212885.60751936372 122.66666666679998 122.66666666679998 63348972 0.07153200026425308 0.043214938347205245 162 0 4 0 4 0 0
380 1.499003343622203E-5 2838.5284921746097 215724.13601153833 124.33333333339999 124.33333333339999 64193760 0.0711671255266636 0.043802038160324276 162 0 4 0 4 0 0
385 1.4901620370358315E-5 2838.5267906306717 218562.66280216898 123.5999999999 123.5999999999 65038549 0.07080837352659906 0.04354371443943223 162 0 4 0 4 0 0
390 1.490965792180266E-5 2838.526945311984 221401.189747481 123.66666666659998 123.66666666659998 65883337 0.07045912152108563 0.043567198426931866 162 0 4 0 4 0 0
395 1.4998070987666376E-5 2838.5286468693284 224239.71839435032 124.40000000009998 124.40000000009998 66728125 0.0701219812704107 0.04382552211946259 162 0 4 0 4 0 0
400 1.5030221193419655E-5 2838.5292656229376 227078.24765997328 124.6666666667 124.6666666667 67572914 0.06979444382418117 0.043919457930739675 162 0 4 0 4 0 0
405 1.489358281892602E-5 2838.5266359462653 229916.77429591955 123.53333333329999 123.53333333329999 68417702 0.06947006534100575 0.0435202304494558 162 0 4 0 4 0 0
410 1.5062371399172937E-5 2838.5298843641717 232755.30418028368 124.93333333330001 124.93333333330001 69262490 0.06915961259553403 0.04401339370125567 162 0 4 0 4 0 0
